year,population,L_index,C_compute,U_creators,NTA,NTP,Gs,S_supply,D_demand,CSR
1969,3443801526.520615,0.8736086817788656,0.8110123269510222,1050787.7511445337,1208108.9504435316,2326912.784683494,5375.492759090625,300343.45663496014,3174152244.1802135,9.462162918796281e-05
1970,3502346152.4714656,1.0500941265345478,0.9259375864518555,1449860.74119957,1220190.039947967,2345528.086960962,5536.757541863345,291131.97802306514,3231059647.5721993,9.010417936475427e-05
1971,3561886037.0634804,1.0001574502519983,0.951953542402692,1689469.2019237764,1232391.9403474466,2364292.3116566497,5702.860268119245,305165.7491221507,3247395139.539648,9.397247209201992e-05
1972,3622438099.693559,1.051581580536235,0.9677781772899403,1688550.4703176285,1244715.8597509211,2383206.650149903,5873.9460761628225,306512.6589178098,3337443869.8718863,9.184054350240678e-05
1973,3684019547.388349,1.0159239498948565,0.9852955581438305,1996023.488338701,1257163.0183484303,2402272.303351102,6050.164458447708,296564.94314609445,3419080311.273118,8.673822085087743e-05
1974,3746647879.6939507,1.1011627393155519,0.9566692059111609,1622181.8677941407,1269734.6485319147,2421490.4817779106,6231.669392201139,306708.7992138546,3418014525.5200763,8.973302978201551e-05
1975,3810340893.6487474,1.1774725889497955,1.0377603002639568,2376856.0703585832,1282431.9950172338,2440862.405632134,6418.619473967173,308943.6538058056,3464886746.409569,8.916414198124753e-05
1976,3875116688.8407755,1.160296398758192,1.0739874384960828,1553502.8948758985,1295256.3149674062,2460389.3048771913,6611.1780581861885,312271.9979320568,3565038353.202303,8.759288596476327e-05
1977,3940993672.551069,1.2849662951631537,1.0843521196911958,3083217.2882514424,1308208.8781170803,2480072.419316209,6809.513399931775,324628.7204811731,3528598979.7850275,9.199932390757264e-05
1978,4007990564.984436,1.2869292746404266,1.1507964565464905,2075116.5049139406,1321290.966898251,2499912.9986707387,7013.798801929728,331319.3494874285,3562209031.135703,9.300951925940104e-05
1979,4076126404.5891714,1.355616206817886,1.214553766658296,1375076.3095760376,1334503.8765672336,2519912.3026601044,7224.2127659876205,319936.93722928653,3701821738.993285,8.642688918788774e-05
1980,4145420553.467187,1.3958155353924595,1.3252956012820747,1312284.8542299392,1347848.9153329062,2540071.6010813853,7440.93914896725,325913.0272186452,3711258238.334791,8.781739407195752e-05
1981,4215892702.876128,1.5766590434296546,1.2775502009713395,2136368.021760825,1361327.404486235,2560392.1738900365,7664.167323436267,325943.01727535494,3746362045.4588227,8.700254095047992e-05
1982,4287562878.8250227,1.5439251144261072,1.320797277395449,1834925.2175495222,1374940.6785310972,2580875.3112811567,7894.092343139355,326656.36600988696,3867074539.0829344,8.447118427858196e-05
1983,4360451447.765047,1.5546272330546458,1.3446333641183799,2360332.287656811,1388690.0853164084,2601522.3137714057,8130.915113433535,336217.59848550294,3870798746.9169884,8.686000499336044e-05
1984,4434579122.377052,1.7138383612308892,1.2942779275273495,2303090.236647554,1402576.9861695725,2622334.492281577,8374.842566836542,343215.5014775695,3950442173.6400657,8.688027476208305e-05
1985,4509966967.457462,1.679059892990999,1.4322813234908245,2101331.7024261826,1416602.7560312685,2643313.16821983,8626.087843841638,346035.4472214516,4035851902.114122,8.574037294088666e-05
1986,4586636405.904239,1.820015111479196,1.481665772504144,1795871.4302588012,1430768.783591581,2664459.6735655884,8884.870479156887,338183.8000523664,4035444646.3135524,8.380335494412074e-05
1987,4664609224.80461,1.7830026513807344,1.6486758832421826,1556257.972172278,1445076.4714274968,2685775.3509541135,9151.416593531594,352497.3082744092,4157566835.3814487,8.478451994436026e-05
1988,4743907581.626288,1.8877805364288132,1.5647595603886706,2200996.936488365,1459527.236141772,2707261.5537617463,9425.959091337543,350617.0274583178,4193157951.866336,8.361646078756976e-05
1989,4824554010.513935,2.0388515627164603,1.6405615454041522,2983160.9502291195,1474122.5085031895,2728919.6461918405,9708.73786407767,363309.7049511076,4216113707.332434,8.617170460067509e-05
1990,4906571428.692672,2.1421726885499623,1.677394761552575,2817580.146569581,1488863.7335882213,2750751.003361375,10000.0,361702.66178962775,2886394322.269371,0.00012531297577707474
1991,4989983142.980447,2.191271405464501,1.6772518336691298,2273569.392760316,1503752.3709241035,2772757.011388266,10300.0,359782.4079142277,2957178328.5043097,0.00012166408919146905
1992,5074812856.411113,2.255362988811816,1.8527501370833073,3205349.6877984046,1518789.8946333446,2794939.067479372,10609.0,370986.1600961239,2978319615.2627573,0.00012456223912133562
1993,5161084674.970101,2.325285276998273,1.8970619481293187,3576555.900759508,1533977.793579678,2817298.5800192067,10927.27,378229.289947133,2983941200.980209,0.00012675494068813644
1994,5248823114.444592,2.3461165398593016,1.9674946986699269,3256144.5136623997,1549317.5715154747,2839836.9686593614,11255.0881,377365.45312330127,3018507989.565294,0.00012501721195631058
1995,5338053107.39015,2.464007789580265,1.956397712690288,4143448.1681435267,1564810.7472306297,2862555.6644086363,11592.740743,378447.42653129797,3042504910.669117,0.00012438679234475538
1996,5428800010.215782,2.556925422074338,2.152341715096235,4521973.972334057,1580458.8547029358,2885456.109723905,11940.522965290002,380507.88001028413,3092799959.852092,0.00012303022663919116
1997,5521089610.38945,2.7125156495332083,2.099947612055366,4405997.443929458,1596263.4432499653,2908539.758601696,12298.738654248702,377295.9083098876,3155515160.243072,0.000119567135364618
1998,5614948133.766071,2.7560355115471946,2.2959063105508926,5696136.916381566,1612226.077682465,2931808.07667051,12667.700813876163,379620.2984230089,3096032917.4954014,0.0001226150717835747
1999,5710402252.040092,2.729145000826861,2.4824932265132147,6385205.4948138455,1628348.3384592896,2955262.541283874,13047.73183829245,400362.13197769754,3218444545.104632,0.00012439615670453683
2000,5807479090.324774,2.9109548389195483,2.440835913446537,7270495.694271658,1644631.8218438828,2978904.641614145,13439.163793441223,400157.3821974276,3230417669.673742,0.00012387171663713744
2001,5905024993.613322,2.95173738505618,2.5912782843515694,7902552.28810528,1661078.1400623214,3002735.878747058,13842.338707244458,399093.73878502176,3227276501.8816767,0.00012366270400206755
2002,6004209096.156578,3.0119640611109677,2.766075996387535,7340764.729848969,1677688.9214629447,3026757.7657770347,14257.608868461795,403813.03464389354,3277823589.6439652,0.00012319547516825193
2003,6105058905.963149,3.1495976568673205,2.889541843962156,8207307.387225652,1694465.810677574,3050971.827903251,14685.337134515648,415197.7202138446,3327165953.867624,0.00012479020462781638
2004,6207602392.874354,3.241978044395839,3.0021024076631475,9560712.02448418,1711410.46878435,3075379.602526477,15125.897248551119,404561.2254994405,3362610787.590834,0.00012031164207062192
2005,6311867996.316719,3.30646193046626,3.257790540727707,10158401.167247465,1728524.5734721932,3099982.6393466885,15579.674166007651,418925.8187388768,3401130285.978645,0.00012317252898717894
2006,6417884633.184583,3.2853280082131384,3.383760170162745,10723299.243696028,1745809.8192069153,3124782.5004614624,16047.064390987882,412779.738087921,3489522076.3148837,0.00011829119548767486
2007,6525681705.855018,3.3770266017049986,3.648548776244424,12920328.200229738,1763267.9173989845,3149780.760465154,16528.476322717517,425990.32927197835,3508007563.0280137,0.00012143369751012607
2008,6635289110.337256,3.471963195907174,3.7700790732657667,11772178.994109165,1780900.5965729742,3174979.006548875,17024.330612399044,424157.9693428156,3580070322.157962,0.00011847755244292116
2009,6746737244.558901,3.5647321221519106,4.085907829371565,12514439.254891498,1798709.6025387042,3200378.838601266,17535.060530771018,419990.6048448545,3568525795.7509403,0.00011769302756475495
2010,6860057016.791193,3.5501404221038055,4.161258601150662,12854444.962611062,1816696.698564091,3225981.8693100763,18061.11234669415,430611.9180623469,3674312161.9720173,0.0001171952460977719
2011,6975279854.215705,3.6205161568592588,4.375006908325546,13109034.025660368,1834863.665549732,3251789.724264557,18602.94571709497,444054.13281217497,3789949917.0960016,0.00011716622713379429
2012,7092437711.634799,3.627722042163332,4.620724381964529,13011026.439451847,1853212.3022052294,3277804.0420586737,19161.034088607823,453425.59231052996,3790579237.339502,0.00011961907769768093
2013,7211563080.328273,3.6740082745500966,4.705721272780104,13917008.540169984,1871744.4252272816,3304026.4743951424,19735.86511126606,450126.0881296713,3815842315.6868234,0.00011796244469516344
2014,7332688997.058662,3.822780213490403,4.964498163661788,13507253.797462285,1890461.8694795545,3330458.686190304,20327.94106460404,454697.0984081954,3889900100.2280774,0.00011689171616040603
2015,7455849053.22767,3.895885541964239,5.203576961205736,14121974.968809448,1909366.4881743502,3357102.3556798263,20937.77929654216,462449.9162092798,3925612580.074968,0.00011780324899011006
2016,7581077404.1862755,3.868017618379173,5.242885036130294,14337836.795986839,1928460.153056094,3383959.1745252647,21565.912675438423,468975.3074492977,4089756908.312199,0.0001146707048764028
2017,7708408778.701088,3.963015285689072,5.518231117916536,14957417.162042728,1947744.754586655,3411030.847921467,22212.89005570158,467856.1124082733,4101328822.7956924,0.00011407427510027267
2018,7837878488.579596,3.9698766309505436,5.709184413078099,16407621.614331856,1967222.2021325214,3438319.094704839,22879.276757372623,480188.2010918237,4136105525.3423347,0.00011609669969725441
2019,7969522438.456929,3.9562977469934184,5.9246349210024585,14650009.006096713,1986894.4241538467,3465825.6474624774,23565.655060093803,480622.69277020096,4224585188.6848965,0.00011376802012597542
2020,8103377135.746892,4.041258092186951,6.015870622174537,16261057.64573545,2006763.3683953846,3493552.2526421775,24272.62471189662,484304.28552857443,4252333924.2933617,0.00011389140508504503
2021,8239479700.759999,4.132677961477667,6.2072893876074815,15447952.331902372,2026831.002079339,3521500.6706633153,25000.80345325352,488535.9802585994,4369264872.0197315,0.00011181193966681386
2022,8377867876.991322,4.084606892211504,6.498963410611119,16357786.324166445,2047099.3121001322,3549672.676028622,25750.827556851127,507605.3854576971,4468266330.682961,0.00011360231192398755
2023,8518580041.580987,4.19337001594793,6.691716401214892,17481529.973954193,2067570.3052211336,3578070.057436851,26523.352383556663,519797.3540707586,4454034701.279922,0.00011670258292361047
2024,8661655215.950254,4.011092507461267,6.898278855378649,17317027.979649663,2088246.008273345,3606694.6178963454,27319.052955063362,512225.8882353798,4592662303.804096,0.00011153136336871618
2025,8807133076.616056,4.208404339243072,7.1172492873533075,17098945.001829196,2109128.468356078,3635548.174839516,28138.624543715265,530880.9063145854,4601420840.760984,0.00011537325636721985
